;Token_ID;Lemma;Token;Children;Relation;POS;Category;AuxY;Language;Date_before;Date_after;Sentence;Proper;Verbs;Nouns;Polysyndeton;Bisyndeton;Minus_one;Strategy
75;515126;;-;2;SBJ_CO;noun;PROPER;0;Latin;-201.0;-250.0;]ilio(s) M(arci) f(ilius) C(aius) An[---] / prai]toris pro po[plod] / [---]ti Diove dede[re];1;0;0;0;0;1;A
76;515127;;-;2;SBJ_CO;noun;PROPER;0;Latin;-101.0;-200.0;]am [---] / [---]rio(s) Om[---] / [--- Al]fio(s) V[---] / [--- curav]erun[t ---] / [--- qua de caus]a id a[ctum(?);1;0;0;0;0;1;A
77;515128;;-;2;ADV_CO;noun;BUILDING;0;Latin;-301.0;-330.0;d]omo fameliai donom d[edit(?);0;0;1;0;0;1;A
78;515129;;-;2;SBJ_CO;noun;PROPER;0;Latin;-101.0;-200.0;Nensino / C(aius) Spisini(us) C(ai) f(ilius) / T(itus) Velini(us) T(iti) f(ilius) mag(istri) d(e) p(ecunia) A(equiculorum?) d(e) v(ici) s(ententia) f(aciundum) c(oiravere);1;0;0;0;0;1;A
79;515130;;-;3;SBJ_CO;noun;PROPER;0;Latin;-101.0;-200.0;T(itus) Avius H(erenni) f(ilius) A(ulus) Allianus H(erenni) f(ilius) / L(ucius) Numisius H(erenni) f(ilius) magistri / de v{e}ici sententia pequnia / fa{a}ni hoc opus coiravere;1;0;0;1;0;0;A
80;515132;;-;NA;NA;NA;NA;0;Latin;-241.0;-264.0;[---] C(ai) f(ilius) quaistor probavet;0;0;0;0;0;0;A
81;515133;;-;2;SBJ_CO;noun;PROPER;0;Latin;-241.0;-264.0;M(arcus) Populicio(s) L(uci) f(ilius) / C(aius) Paperio(s) Ti(beri) f(ilius) // q(uaestores) p(robavere);1;0;0;0;0;1;A
82;515134;;-;2;SBJ_CO;noun;PROPER;0;Latin;-201.0;-300.0;C(aius) Paperio(s) Ti(beri) f(ilius) / M(arcus) Populicio(s) L(uci) f(ilius) q(uaestores) p(robaverunt);1;0;0;0;0;1;A
83;515135;;-;3;SBJ_CO;noun;PROPER;0;Latin;-241.0;-264.0;C(aius) Sestio(s) P(ubli) f(ilius) / Q(uintus) Salonio(s) Q(uinti) f(ilius) / Sex(tus) Viroen[---] / probaver[e];1;0;0;1;0;0;A
84;253668;12472a;et;2;OBJ_CO;noun;HUMAN;0;Latin;-101.0;-200.0;Q(uintus) Ventiliu[s] / Q(uinti) f(ilius) Arn(ensi) Sura locum / dedit libertis et libertab(us) / su{e}is h{e}isce /;0;0;1;0;0;1;P
85;319840;-;-;2;PRED_CO;verb;-;0;Old Sabellic;-475.0;-525.0;apaes⁝ qupat[⁝ e]smị́/n⁝ púpúnis⁝ n/ír⁝ mefiín⁝ veiat⁝ vepetí[n]⁝;0;1;0;0;0;1;A
86;319841;-;-;2;OBJ_CO;noun;RELATION;0;Old Sabellic;-475.0;-525.0;matereíh⁝ patereíh⁝ qolofítúr⁝ qupíríh⁝ arítih⁝ ímih⁝ puíh / púpúnum⁝ estufk⁝ apaiús⁝ / adstaíúh⁝ súaís⁝ manus⁝ / meitimúm;0;0;1;0;0;1;A
87;319842;-;-;3;ADV_CO;adverb;-;0;Old Sabellic;-475.0;-525.0;matereíh⁝ patereíh⁝ qolofítúr⁝ qupíríh⁝ arítih⁝ ímih⁝ puíh / púpúnum⁝ estufk⁝ apaiús⁝ / adstaíúh⁝ súaís⁝ manus⁝ / meitimúm;0;0;0;1;0;0;A
88;152332;10908a;ni;2;PRED_CO;verb;-;1;Old Sabellic;-475.0;-525.0;[---]ṃatas udmom ni hvidas ni kait[sis][---];0;1;0;0;1;0;O
89;155136;-;-;2;ATR_CO;adjective;-;0;Umbrian;-300.0;-350.0;1 este: persklum: aves: anzeriates: enetu: / 2 pernaies: pusnaes;0;0;0;0;0;1;A
90;155151;10532a;heris:;2;ADV_CO;noun;VICTUALS;1;Umbrian;-300.0;-350.0;4 heris: vinu: heri puni: / 5 ukriper: fisiu: tutaper: ikuvina: feitu:;0;0;1;0;1;0;O
91;319357;-;-;2;ADV_CO;noun;BUILDING;0;Umbrian;-300.0;-350.0;4 heris: vinu: heri puni: / 5 ukriper: fisiu: tutaper: ikuvina: feitu:;0;0;1;0;0;1;A
92;155166;-;-;2;ADV_CO;noun;-;0;Umbrian;-300.0;-350.0;5 sevum: / 6 kutef: pesnimu ařepes arves:;0;0;1;0;0;1;A
93;319414;-;-;2;ADV_CO;noun;BUILDING;0;Umbrian;-300.0;-350.0;7 pus veres: treplanes: tref sif: kumiaf: feitu: / 8 trebe: iuvie: ukriper: fisiu: tutaper: ikuvina:;0;0;1;0;0;1;A
94;155192;-;-;2;ADV_CO;noun;-;0;Umbrian;-300.0;-350.0;10 kutef pesnimu: aře(pe)ṣ arv{i}es;0;0;1;0;0;1;A
95;319415;-;-;2;ADV_CO;noun;BUILDING;0;Umbrian;-300.0;-350.0;11 marte: krapu/12vi fetu: ukripe: fisiu: tutaper: ikuvina:;0;0;1;0;0;1;A
96;155219;-;-;2;ADV_CO;noun;-;0;Umbrian;-300.0;-350.0;13 kutef: pesnimu: / 13A ař(e)pes: arves:;0;0;1;0;0;1;A
97;319416;-;-;2;ADV_CO;noun;BUILDING;0;Umbrian;-300.0;-350.0;14 pus veres: tesenakes: tref: sif: feliuf: fetu: / 15 fise saçi: ukriper: fisiu: tutaper: ikuvina:;0;0;1;0;0;1;A
98;155243;-;-;2;OBJ_CO;noun;RELIGION;0;Umbrian;-300.0;-350.0;16 mefa: / 17 vestiça: ustetu:;0;0;1;0;0;1;A
99;155269;-;-;2;ADV_CO;noun;-;0;Umbrian;-300.0;-350.0;19 kutef: pesnimu: ařepes: arves:;0;0;1;0;0;1;A
100;319849;-;-;2;ADV_CO;noun;BUILDING;0;Umbrian;-300.0;-350.0;20 pre veres: vehiies: tref: buf: kaleřuf: fetu: vufiune / 21 krapuvi: ukriper: fisiu: tutaper: ikuvina:;0;0;1;0;0;1;A
